"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"[Study on a New Urine Analysis Core Module Based on Semi-Reflection Mirror].","https://scispace.com/paper/study-on-a-new-urine-analysis-core-module-based-on-semi-fmh4t59t1udn","","","","Longcong Chen
Gaiqin Liu
Nan Hu
Ruiying Zhang
Qifeng Jiang
Bin Gao
Xingliang Xiong","10.7507/1001-5515.20140244","","A new urine analysis core module based on high performance 32-bit microprocessor and high precision color sensor was presented. A novel optical structure and a specific circuit were applied to improve measurement precision and temperature was used to compensate for results in this core module. The information of urine test peice, such as all original data and color RGB value, reflectivity, semi-quantitative level, etc. can be output. The results showed that the measuring precision was about 95% or above with ideal stability and reliability using this presented core module, which can be conveniently applied in various urine analyzers, and can greatly decrease the cost of urine analyzers in development and production.","A novel urine analysis core module based on a 32-bit microprocessor and color sensor was developed, achieving 95%+ precision and ideal stability, with potential to reduce urine analyzer development and production costs."
"Low-Cost, Volume-Controlled Dipstick Urinalysis for Home-Testing.","https://scispace.com/paper/low-cost-volume-controlled-dipstick-urinalysis-for-home-3z7u8oggmt","2021","Journal Article","Journal of Visualized Experiments","Emily C Kight
Iftak Hussain
Audrey K. Bowden","10.3791/61406","","Dipstick urinalysis provides quick and affordable estimations of multiple physiological conditions but requires good technique and training to use accurately. Manual performance of dipstick urinalysis relies on good human color vision, proper lighting control, and error-prone, time-sensitive comparisons to chart colors. By automating the key steps in the dipstick urinalysis test, potential sources of error can be eliminated, allowing self-testing at home. We describe the steps necessary to create a customizable device to perform automated urinalysis testing in any environment. The device is cheap to manufacture and simple to assemble. We describe the key steps involved in customizing it for the dipstick of choice and for customizing a mobile phone app to analyze the results. We demonstrate its use to perform urinalysis and discuss the critical measurements and fabrication steps necessary to ensure robust operation. We then compare the proposed method to the dip-and-wipe method, the gold standard technique for dipstick urinalysis.","In this article, the authors describe the steps necessary to create a customizable device to perform automated urinalysis testing in any environment, and demonstrate its use to perform the test and compare the proposed method to the traditional dip-and-wipe method."
"Urinalysis with the new fully automated analyzer supertron","https://scispace.com/paper/urinalysis-with-the-new-fully-automated-analyzer-supertron-p5reozvdhy","1995","","","Dietmar Nagel
Dieter Seiler","","","Supertron is a new fully automated urinalysis system which provides semi-quantitative results for erythrocytes, leukocytes, glucose, protein, urobilinogen, bilirubin, nitrite, ketone bodies, pH and specific gravity at a maximum throughput of 300 test strips per hour. Processing is fully automated starting from sample selection to test strip dipping and photometric measurement of the reagent field. In addition, results can be transmitted automatically to the integrated printer and/or host computer as needed. Within-run precision is good. The results of repeated measurements (n = 20) of most analytes fell in the same concentration block. Only one of three urine pools for erythrocytes, nitrite, ketone bodies, pH and specific gravity gave results which overlapped two neighbouring blocks. A comparison of the ten test strip analytes between Supertron and Miditron revealed a concordance of 96 to 100% in 390 urine specimens. A comparison of erythrocytes and leukocytes vs. the counting chamber method showed a concordance of 86 to 98% in 239 urine specimens. Also tested in detail were the stability of the test strips over 24 hours in Supertron's sorter drum and how well the integrated mixing rod was capable of mixing the urine specimens. Both were found to be good. The test strip stability exceeds the 10 h stability guaranteed by the manufacturer, and no differences were found after urine samples were left for 60 minutes on the tray.","The test strip stability exceeds the 10 h stability guaranteed by the manufacturer, and no differences were found after urine samples were left for 60 minutes on the tray, and how well the integrated mixing rod was capable of mixing the urine specimens was found to be good."
"Robust dipstick urinalysis using a low-cost, micro-volume slipping manifold and mobile phone platform","https://scispace.com/paper/robust-dipstick-urinalysis-using-a-low-cost-micro-volume-234mjvxg1z","2016","Journal Article","Lab on a Chip","Gennifer T. Smith
Nicholas Dwork
Saara A. Khan
Matthew Millet
Kiran Magar
Mehdi Javanmard
Audrey K. Ellerbee Bowden","10.1039/C6LC00340K","https://scispace.com/pdf/robust-dipstick-urinalysis-using-a-low-cost-micro-volume-234mjvxg1z.pdf","We introduce a novel manifold and companion software for dipstick urinalysis that eliminate many of the aspects that are traditionally plagued by user error: precise sample delivery, accurate readout timing, and controlled lighting conditions. The proposed all-acrylic slipping manifold is reusable, reliable, and low in cost. A simple timing mechanism ensures results are read out at the appropriate time. Results are obtained by capturing videos using a mobile phone and by analyzing them using custom-designed software. We show that the results obtained with the proposed device are as accurate and consistent as a properly executed dip-and-wipe method, the industry gold-standard, suggesting the potential for this strategy to enable confident urinalysis testing in home environments.","It is shown that the results obtained with the proposed device are as accurate and consistent as a properly executed dip-and-wipe method, the industry gold-standard, suggesting the potential for this strategy to enable confident urinalysis testing in home environments."
"Automation of urine dipstick test by simultaneous scanning : A pilot study","https://scispace.com/paper/automation-of-urine-dipstick-test-by-simultaneous-scanning-a-17c24j66sz","2010","Journal Article","Journal of Sensor Science and Technology ","Sang-Bong Lee
Seong-Su Choi
In-Kwang Lee
Jeong-Su Han
Wan-Seok Kim
Wun-Jae Kim
Eun-Jong Cha
Kyung-Ah Kim","10.5369/JSST.2010.19.3.169","","Urinalysis is an important clinical test to diagnose urinary diseases, and dipstick method with visual inspection is widely applied in practice. Automated optical devices recently developed have disadvantages of long measurement time, big size and heavy weight, accuracy degradation with time, etc. The present study proposed a new computer scanning technique, in which the test strip and the standard chart were simultaneously scanned to remove any environmental artifacts, followed by automated differentiation with the minimum distance algorithm, leading to significant enhancement of accuracy. Experiments demonstrated an accuracy of 100 % in that all test results were identical with the human visual inspection. The present technique only uses a personal computer with scanner and shortens the test time to a great degree. The results are also stored and accumulated for later use which can be transmitted to remote locations through a network, thus could be easily integrated to any ubiquitous health care systems.","A new computer scanning technique is proposed, in which the test strip and the standard chart were simultaneously scanned to remove any environmental artifacts, followed by automated differentiation with the minimum distance algorithm, leading to significant enhancement of accuracy."
"[Research on Dry Chemical Detection TechnologyBased on Reflectance Photometry].","https://scispace.com/paper/research-on-dry-chemical-detection-technologybased-on-t99xiolwnb","2024","Journal Article","Chinese journal of medical instrumentation","Tanghong Lu
Juhua Huang
Chunjiang Huang
Shuaiding Feng
Lingfeng You","10.12455/j.issn.1671-7104.230331","","In response to the issues of insufficient stability and accuracy in dry chemical detection using reflectance photometry, caused by the divergence and multiple internal reflections of the reflected light signal from the sample and the multilayer dry film test strip, a dry chemical reflectance photometry detection system based on an integrating sphere is designed. Firstly, an integrating sphere device is incorporated to reduce signal divergence and loss, ensuring even detection of the sample's reflected light signal and improving detection stability. Secondly, Light Tools optical simulation analysis is performed, and an integrating sphere detection model is established. Thirdly, the Williams-Clapper equation is employed to correct the error in reflectance density caused by multiple internal reflections, enhancing detection accuracy. Experimental validation demonstrates that the developed integrating sphere-based dry chemical reflectance photometry detection system improves the stability and accuracy of the detection system.","The developed integrating sphere-based dry chemical reflectance photometry detection system improves the stability and accuracy of the detection system by reducing signal divergence and correcting errors caused by multiple internal reflections."
"SpectraPhone: A Smartphone Based Spectrometer for High-Resolution Urinalysis","https://scispace.com/paper/spectraphone-a-smartphone-based-spectrometer-for-high-r2pyh7nvoefq","2025","Journal Article","","Kefan Song
Ilan Mandel
Jason Cobb
Tanzeem Choudhury
Alexander T. Adams","10.21203/rs.3.rs-7143209/v1","","<title>Abstract</title> Chronic kidney disease (CKD) affects millions worldwide but remains under-diagnosed, especially in resource-limited settings. Current diagnostic methods, including visual and dipstick urinalysis, lack quantitative accuracy, while laboratory-based tests remain inaccessible for routine or remote monitoring. Here we present SpectraPhone, a smartphone-integrated, portable spectrometer designed for quantitative, point-of-care urinalysis. Leveraging the smartphone's built-in camera and flashlight, SpectraPhone captures high-resolution spectral data to accurately quantify hematuria and albuminuria, which are both biomarkers of CKD. Through rigorous optical characterization and empirical validation, SpectraPhone demonstrates superior quantification performance, accurately measuring red blood cell concentrations (R<sup>2</sup>=0.9913, RMSE=61.6086 RBC/μL, MAE=43.9077 RBC/μL) and albumin levels (R<sup>2</sup>=0.9981, RMSE=11.8525 mg/dL, MAE=8.4985 mg/dL), significantly surpassing the capabilities of conventional qualitative methods. With the addition of bromophenol blue reagent, SpectraPhone achieves more accurate urine albumin measurements (R<sup>2</sup>=0.9997, RMSE=4.2583 mg/dL, MAE=3.2625 mg/dL), enabling clinical-grade albuminuria detection. SpectraPhone’s affordability, ease of use, and robust performance highlight its potential to transform routine CKD screening, facilitate early detection, improve disease management, and increase healthcare access globally. ","Researchers developed SpectraPhone, a smartphone-based spectrometer for high-resolution urinalysis, enabling accurate quantification of hematuria and albuminuria biomarkers for chronic kidney disease (CKD) diagnosis, particularly in resource-limited settings, with superior performance compared to conventional methods."
"Improved reflectance photometer","https://scispace.com/paper/improved-reflectance-photometer-49fv9rxifm","1988","Patent","","Andrew J. Dosmann
Willis Howard
Alfred Zembrod","","","A reflectance photometer for quantitatively measuring diffuse light includes a light source located above a sample. The reflectance photometer also includes a first detector mounted at a preselected scattering angle relative to an axis extending perpendicularly from the sample through the light source. A first linear polarizer is mounted between the sample and the light source. The direction of polarization of the first linear polarizer is vertical to a scattering plane defined by the direction of incoming light from the light source and the direction of reflected light detected by the first detector. A second linear polarizer is mounted between the sample and the first detector. The direction of the second polarizer is parallel to the scattering plane. The reflectance photometer can include a second detector mounted at a second, scattering angle. A third linear polarizer is mounted between the sample and the second detector. The direction of polarization of the third linear polarizer can be perpendicular or parallel to the scattering plane. Generally, the three polarizers are close such that the contributions of scattered light as related to surface noise will be minimized for the first detector and maximized for the second detector, respectively. The optimum settings of the polarizers will depend on the settings of the polarizors, the scattering geometry, the sample orientation and the bulk and surface scattering properties of the sample material.","In this paper, a linear polarizer is mounted between the sample and the light source and a second linear polariser is mounted at a preselected scattering angle relative to an axis extending perpendicularly from the sample through a light source."
"Low-power, low-cost urinalysis system with integrated dipstick evaluation and microscopic analysis.","https://scispace.com/paper/low-power-low-cost-urinalysis-system-with-integrated-1fwfehypyr","2018","Journal Article","Lab on a Chip","Gennifer T. Smith
Linkai Li
Yue Zhu
Audrey K. Ellerbee Bowden","10.1039/C8LC00501J","","We introduce a coupled dipstick and microscopy device for analyzing urine samples. The device is capable of accurately assessing urine dipstick results while simultaneously imaging the microscopic contents within the sample. We introduce a long working distance, cellphone-based microscope in combination with an oblique illumination scheme to accurately visualize and quantify particles within the urine sample. To facilitate accurate quantification, we couple the imaging set-up with a power-free filtration system. The proposed device is reusable, low-cost, and requires very little power. We show that results obtained with the proposed device and custom-built app are consistent with those obtained with the standard clinical protocol, suggesting the potential clinical utility of the device.","A long working distance, cellphone-based microscope in combination with an oblique illumination scheme to accurately visualize and quantify particles within the urine sample to suggest the potential clinical utility of the coupled dipstick and microscope device."
"Peecheck 2.0: Design and Improvement of Rapid and Low-Cost Urine Analysis Device for Rural Health Care","https://scispace.com/paper/peecheck-2-0-design-and-improvement-of-rapid-and-low-cost-73mtfhn0u61i","2024","Journal Article","International journal of latest technology in engineering management & applied science","Rose Ann C. Estoquia.
Niña Nicole F. Galiza.
Jullean Jasper D. Historillo.
Teejay Marc C. Musca
Kristian Carlo B. Victorio","10.51583/ijltemas.2024.130902","","Abstract: The research paper introduced improvements to PeeCheck, a portable urine analyzer, addressing the need for versatile, rapid, and low-cost urine analysis tools, particularly in resource-constrained rural healthcare settings. The focus was on evaluating the accuracy and speed of reading the urine strip and the electrical characteristics of the portable urine analyzer device across various parameters. PeeCheck 2.0 represented enhancements in medical diagnostics using urine as a non-invasive sample. By incorporating the integration of technologies such as versatility in using variations of urine strips and data cloud storage using the Raspberry Pi Pico W microcontroller, PeeCheck 2.0 was designed to analyze 14 colorimetric urine characteristics, aiding in the pre-diagnostic of health issues associated with kidney and metabolic-related diseases. The study evaluated PeeCheck 2.0's performance through the analysis of urine samples collected from 3rd- and 4th-year electrical engineering students and compared the results with those obtained from standard laboratory urinalysis. The findings highlighted PeeCheck 2.0's potential to enhance health outcomes and reduce healthcare disparities in rural communities by providing healthcare providers with a low-cost and reliable solution for rapid detection and addressing health concerns in areas with limited resources. The study findings demonstrated that PeeCheck 2.0 achieved significant accuracy and speed in analyzing urine samples across 10 colorimetric parameters compared to standard laboratory methods. PeeCheck 2.0 obtained an overall accuracy of 92.470 percent in its analyses. Results from the evaluation with urine samples collected from electrical engineering students showed a high correlation with laboratory urinalysis, validating PeeCheck 2.0's efficacy in detecting key indicators of kidney and metabolic-related diseases. However, continuous programming-based calibration optimized PeeCheck 2.0 by adjusting parameters in real-time with data and sensor feedback, ensuring consistent accuracy and reliability in urine parameter testing. This research underscored PeeCheck 2.0's role in advancing medical diagnostics through innovation in urine analysis technology, contributing to improved healthcare delivery and outcomes in rural and underserved communities. ","PeeCheck 2.0, a low-cost, portable urine analyzer, enhances rural healthcare by rapidly detecting 14 urine characteristics, achieving 92.47% accuracy and reducing healthcare disparities through reliable, non-invasive diagnostics for kidney and metabolic-related diseases."
"Portable Multifunctional Urine Analysis System for Early Diagnosis of Kidney Disease","https://scispace.com/paper/portable-multifunctional-urine-analysis-system-for-early-4x3jbn7ptub0","2024","Proceedings Article","","Myung-Joon Kwack
Dae-Sik Lee
Sun Hee Lee
Soon Mog So","10.1109/ictc62082.2024.10827073","","This study presents a portable urine analysis system designed for the accurate measurement of the urine albumin-to-creatinine ratio, crucial for diagnosing kidney disease. The system employs both a europium(III)-based strip for microalbumin detection and a colorimetric strip for creatinine detection, addressing the distinct analytical needs of these biomarkers. Utilizing a CMOS-based sensor, the system captures high-resolution fluorescence and visible light images, with UV and white LEDs providing even illumination. This setup ensures reliable, rapid, and non-invasive testing, making it suitable for point-of-care applications in diverse clinical environments. Validation with buffer solutions demonstrated a strong correlation between the fluorescence intensity and microalbumin concentration (5–300 mg/L), as well as between the color intensity and creatinine concentration (1–300 mg/dL), both achieving an R2value of over 0.99. The portable urine analysis system thus offers a robust and cost-effective tool for early detection and monitoring of kidney disease, enhancing clinical outcomes through timely diagnosis and management.","A portable urine analysis system is developed for early kidney disease diagnosis, utilizing europium-based strips for albumin and colorimetric strips for creatinine detection, with high-resolution imaging and reliable results for point-of-care applications."
"Development of a Quantitative Digital Urinalysis Tool for Detection of Nitrite, Protein, Creatinine, and pH","https://scispace.com/paper/development-of-a-quantitative-digital-urinalysis-tool-for-22cnhndoky","2024","Journal Article","Biosensors","Vince Siu
Minhua Lu
Kuan Yu Hsieh
Bo Wen
Italo Buleje
Nigel Hinds
Krishna Patel
Bing Dang
Russell Budd","10.3390/bios14020070","","This paper presents a cost-effective, quantitative, point-of-care solution for urinalysis screening, specifically targeting nitrite, protein, creatinine, and pH in urine samples. Detecting nitrite is crucial for the early identification of urinary tract infections (UTIs), while regularly measuring urinary protein-to-creatinine (UPC) ratios aids in managing kidney health. To address these needs, we developed a portable, transmission-based colorimeter using readily available components, controllable via a smartphone application through Bluetooth. Multiple colorimetric detection strategies for each analyte were identified and tested for sensitivity, specificity, and stability in a salt buffer, artificial urine, and human urine. The colorimeter successfully detected all analytes within their clinically relevant ranges: nitrite (6.25–200 µM), protein (2–1024 mg/dL), creatinine (2–1024 mg/dL), and pH (5.0–8.0). The introduction of quantitative protein and creatinine detection, and a calculated urinary protein-to-creatinine (UPC) ratio at the point-of-care, represents a significant advancement, allowing patients with proteinuria to monitor their condition without frequent lab visits. Furthermore, the colorimeter provides versatile data storage options, facilitating local storage on mobile devices or in the cloud. The paper further details the setup of the colorimeter’s secure connection to a cloud-based environment, and the visualization of time-series analyte measurements in a web-based dashboard.","The introduction of quantitative protein and creatinine detection, and a calculated urinary protein-to-creatinine (UPC) ratio at the point-of-care, represents a significant advancement, allowing patients with proteinuria to monitor their condition without frequent lab visits."
