"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Optical Design and Detection Method","Electronics and Control System","Manufacturing and Cost Considerations"
"A portable analyzer based on a novel optical structure for urine dry-chemistry analysis","https://scispace.com/paper/a-portable-analyzer-based-on-a-novel-optical-structure-for-hkimajtuzf","2018","Journal Article","Journal of Instrumentation","G. Liu
N. Hu
Z. Ma
Ruiqiang Li","10.1088/1748-0221/13/07/T07002","https://iopscience.iop.org/article/10.1088/1748-0221/13/07/T07002/pdf","- **Relevance Score:** 45/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses portable optical fiber bundle and dual color sensors for reflectivity; provides detailed hardware layout and calibration, but not a benchtop system.","A portable urine analyzer, based on a novel optical structure, a high-performance 32-bit microcontroller STM32F103VE and a WiFi module, is put forward for urine dry-chemistry analysis in this paper. In the analyzer, the optical structure, made up of optical fiber bundles, is helpful to control the spread path of light and to reduce influence of ambient light on test results effectively. Meanwhile, through our designed optical structure, the intensity of both irradiating light from white LED and reflected light from urine reagent strip can be measured synchronously by two color sensors. And this is useful to enhance the degree of automation availably and to further improve test accuracy of the urine analyzer. Furthermore, a temperature sensor is also used to measure environment temperature for calibrating the test results of the analyzer. In addition, a high-precision reference voltage chip, LM4132A-3.0, which provides a reference voltage for analog-digital and digital-analog converters integrated in STM32F103VE, is adopted to improve both the measurement precision of light intensity and the control accuracy of outputted analog signals. Consequently, by the 14-item urinalysis reagent strip, the analyzer is able to obtain fourteen indexes of human urine, to display and print the composite reflectivity or semi-quantitative result of each test item. Besides, it also can output all results, covering above mentioned two kinds of results, each color-component reflectivity and all original data of the latest tested strip through WiFi module. To validate the performance of the analyzer, 200 real human urine samples were tested by our designed analyzer and a commercial one simultaneously. The results show that the urine analyzer has a good stability and a great consistency with the commercial one. Therefore, our designed analyzer has a good application prospect in the communities and families.","The analyzer uses a novel optical structure with optical fiber bundles to control light spread and reduce ambient light influence. A white LED provides irradiating light, and two color sensors synchronously measure both irradiating and reflected light intensity from the urine reagent strip. A temperature sensor calibrates test results.","The analyzer uses a high-performance 32-bit microcontroller STM32F103VE. It incorporates a high-precision reference voltage chip, LM4132A-3.0, to provide reference voltage for integrated analog-digital and digital-analog converters, improving measurement precision of light intensity and control accuracy of analog signals. A WiFi module is used for communication, enabling output of results and original data.","Not available in metadata."
"Optical fiber-based dry chemical analyzing device and analyzing method for urine","https://scispace.com/paper/optical-fiber-based-dry-chemical-analyzing-device-and-4zykhn8o3y","2016","Patent","","Liu Gaiqin","","","- **Relevance Score:** 45/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses adjustable RGB fiber‑delivered illumination and color sensors to read dipstick reflectance, detailing hardware layout and signal control, but focuses on a compact, not benchtop, form factor.","The invention discloses an optical fiber-based dry chemical analyzing device and analyzing method for urine. The analyzing device comprises a test paper strip and a light source, and test paper blocks are arranged on the test paper strip; a composite light source formed by red tri-phosphor light with the brightness adjustable, green tri-phosphor light with the brightness adjustable and blue tri-phosphor light with the brightness adjustable is adopted as the light source, and the composite light source vertically irradiates to the test paper blocks through optical fibers; reflected light of the test paper blocks irradiates to a reflected light color sensor through reflective optical fibers; the composite light source directly irradiates to a direct light color sensor through direct optical fibers; the output ends of the color sensors are connected with a microprocessor which is connected with a light intensity control unit, and the light intensity control unit controls the intensity of the light in the three colors within a set range. According to the invention, the size of the dry chemical analyzing device for the urine can be reduced, the influence of the distance between the test paper strip and the light source on a testing result is reduced, the measuring precision and consistency are improved, and miniaturization and productization are easier to achieve.","The device uses a composite light source of adjustable red, green, and blue tri-phosphor light. This source vertically irradiates test paper blocks via optical fibers. Reflected light from the blocks irradiates a reflected light color sensor through reflective optical fibers. The composite light also directly irradiates a direct light color sensor via direct optical fibers. A microprocessor connected to color sensors controls light intensity within a set range.","The output ends of color sensors are connected with a microprocessor, which is connected with a light intensity control unit. This unit controls the intensity of red, green, and blue tri-phosphor light within a set range. The device utilizes a composite light source with adjustable brightness for these three colors, irradiating through optical fibers.","The device aims for miniaturization and productization, reducing the size of the dry chemical analyzing device. It utilizes a test paper strip, a composite light source with adjustable brightness (red, green, blue tri-phosphor light), optical fibers, and color sensors connected to a microprocessor and light intensity control unit. This design improves measuring precision and consistency."
"Based assays for urine analysis","https://scispace.com/paper/Z9xfqT-swRQJ","","","","E Lepowsky
F Ghaderinezhad
S Knowlton","","","- **Relevance Score:** 44/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Mentions a reflectance photometer for dipstick analysis and cites a commercial analyzer, but provides limited detail on benchtop integration, hardware architecture, or calibration methods.","","The urine analyzer system relies on a reflectance photometer to optically examine the test. It uses a reflectance photometer for dipstick analysis. The Urisys 1100® Urine Analyzer is mentioned as an example. Details on light source, detector type, optical path, calibration, or color correction methods are not available in the metadata.","Not available in metadata.","Not available in metadata."
"Reflectance digital matrix photometry.","https://scispace.com/paper/reflectance-digital-matrix-photometry-45qm9e52sb","1983","Journal Article","Clinical Chemistry","W E Neeley
A Zettner","10.1093/CLINCHEM/29.6.1038","","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses reflectance matrix photometry for small colored spots; lacks urine dipstick focus, benchtop integration, or specific calibration, limiting relevance to criteria.","We have designed and constructed a digital matrix photometer for quantitative measurement of reflected light of small chromophoric areas or colored spots. The areas are divided conceptually into small subunits in which the reflected light is measured. This is done through stepwise scanning with a photodiode array. The sum of the individual reflectance measurements is related to the total amount of an analyte in the spot. We have found that this technique makes possible accurate and precise quantitation of light-absorbing substances in small areas of different sizes, shapes, and internal irregularity measuring as little as 1 mm across.","A digital matrix photometer uses stepwise scanning with a photodiode array to measure reflected light. This technique quantifies light-absorbing substances in small chromophoric areas or colored spots. The sum of individual reflectance measurements relates to the total analyte amount. The system is designed for areas as small as 1 mm across, accommodating different sizes, shapes, and internal irregularities. Calibration or color correction methods are not detailed.","Not available in metadata.","Not available in metadata."
"Early history of Eastman Kodak Ektachem slides and instrumentation","https://scispace.com/paper/early-history-of-eastman-kodak-ektachem-slides-and-342s2fm8ev","1997","Journal Article","Clinical Chemistry","Henry Curme
Royden N. Rand","10.1093/CLINCHEM/43.9.1647","https://scholar.archive.org/work/27vzjki5ovf4dobghnlrkuozbe/access/wayback/http://www.yeec.com/uploadimages1/forum/2008-7/2008731172462099.pdf","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on Kodak thin‑film colorimetric slides for clinical chemistry, not a benchtop urine dipstick system; lacks optical reflectance integration, hardware design, and urine‑specific detection.","The Ektachem story starts in 1970 at the Eastman Kodak Co. in Rochester, NY.1 For some time, Eastman Organic Chemicals had supplied reagents to the clinical laboratory. Al Baitsholts, product manager for a thin-layer chromatographic system of impressive analyte sensitivity, became convinced that some kind of thin-layer format might form the basis for a new approach to routine clinical chemistry analysis. His timing was excellent because Kodak was interested in new products that could be made by using proprietary coating technology. Al visited his former boss and friend, Edwin Przybylowicz, a senior manager in the Kodak Research Laboratories. They discussed various configurations of thin-layer chemistry that would require no more than 10 μL of a biological fluid (serum, plasma, whole blood, and even cerebrospinal fluid) and that would yield a quantitative result.

Przybylowicz was strongly taken with some of the suggestions. He formed a team consisting of Charles Warburton, Leo Kunzelsauer, and William Fellows to explore some possibilities. The goal that emerged from these early experiments was to create dry, thin films containing all of the reagents necessary for clinical analysis by colorimetry. Reagents in a matrix of hydrophilic polymer would be coated on top of a transparent plastic base and dried. Upon applying the test sample to the film, water and the analytes would diffuse into the reagent layers, initiating the reaction sequence(s). The extent of reaction would be determined by colorimetry.

Spreading the test sample over the film proved to be a considerable challenge: The fluid tended to form a bead on the surface of the film. The exploratory group initially used filter paper, plastic filters, or woven fabric to spread the fluid over the reagent layer. A better solution was to coat the spreading layer as a slurry of solid particles along with a binding material …","The Ektachem system uses colorimetry for clinical analysis. It involves dry, thin films with reagents coated on a transparent plastic base. Upon sample application, water and analytes diffuse, initiating reactions. The extent of reaction is determined by colorimetry. A challenge was spreading the test sample over the film, initially addressed with filter paper or woven fabric, later by coating a spreading layer as a slurry of solid particles.","Not available in metadata.","The Ektachem story began with an interest in new products using Kodak's proprietary coating technology. The goal was to create dry, thin films containing reagents for clinical analysis by colorimetry. Reagents in a hydrophilic polymer matrix would be coated on a transparent plastic base and dried. A key challenge was spreading the test sample over the film, eventually solved by coating a slurry of solid particles with a binding material."
"Low-Cost, Volume-Controlled Dipstick Urinalysis for Home-Testing.","https://scispace.com/paper/low-cost-volume-controlled-dipstick-urinalysis-for-home-3z7u8oggmt","2021","Journal Article","Journal of Visualized Experiments","Emily C Kight
Iftak Hussain
Audrey K. Bowden","10.3791/61406","","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Offers low-cost home dipstick analyzer with phone imaging; lacks benchtop reflectance setup, but includes detailed hardware design and basic optical detection.","Dipstick urinalysis provides quick and affordable estimations of multiple physiological conditions but requires good technique and training to use accurately. Manual performance of dipstick urinalysis relies on good human color vision, proper lighting control, and error-prone, time-sensitive comparisons to chart colors. By automating the key steps in the dipstick urinalysis test, potential sources of error can be eliminated, allowing self-testing at home. We describe the steps necessary to create a customizable device to perform automated urinalysis testing in any environment. The device is cheap to manufacture and simple to assemble. We describe the key steps involved in customizing it for the dipstick of choice and for customizing a mobile phone app to analyze the results. We demonstrate its use to perform urinalysis and discuss the critical measurements and fabrication steps necessary to ensure robust operation. We then compare the proposed method to the dip-and-wipe method, the gold standard technique for dipstick urinalysis.","Not available in metadata.","Not available in metadata.","The device is cheap to manufacture and simple to assemble, enabling automated urinalysis testing. The paper describes steps for customizing the device for a chosen dipstick and a mobile app for result analysis. It discusses critical measurements and fabrication steps for robust operation, aiming to eliminate error sources for home-testing."
"Spectrochip-based Calibration Curve Modeling (CCM) for Rapid and Accurate Multiple Analytes Quantification in Urinalysis","https://scispace.com/paper/spectrochip-based-calibration-curve-modeling-ccm-for-rapid-4yz3yj2f060q","2024","Journal Article","Heliyon","Cheng‐Hao Ko
Ashenafi Belihu Tadesse
Abel Chernet Kabiso","10.1016/j.heliyon.2024.e37722","","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses MEMS spectrochip absorption spectroscopy for urine strip analytes; lacks benchtop reflectance integration and detailed hardware design; no reflectance photometry described.","Most urine test strips are intended to enable the general population to rapidly and easily diagnose potential renal disorders. It is semi-quantitative in nature, and although the procedure is straightforward, certain factors will affect the judgmental outcomes. This study describes rapid and accurate quantification of twelve urine test strip parameters: leukocytes, nitrite, urobilinogen, protein, pH, occult blood, specific gravity, ketone, bilirubin, glucose, microalbumin, and creatinine using a micro-electromechanical system (MEMS)-based spectrophotometer, known as a spectrochip. For each parameter, absorption spectra were measured three times independently at eight different concentration levels of diluted standard solutions, and the average spectral intensities were calculated to establish the calibration curve under the characteristic wavelength ( ","The system uses a micro-electromechanical system (MEMS)-based spectrophotometer, referred to as a spectrochip. It measures absorption spectra at eight different concentration levels for each parameter. Calibration curve modeling (CCM) is established using average spectral intensities under characteristic wavelengths for 12 urine test strip parameters.","This study utilizes a micro-electromechanical system (MEMS)-based spectrophotometer, referred to as a spectrochip, for rapid and accurate quantification. No specific details about microcontroller/processor type, ADC specifications, signal conditioning circuits, power supply requirements, communication interfaces, or other electronic components are available in the metadata.","Not available in metadata."
"Urine Dipstick Analysis on Automated Platforms: Is a Reliable Screening Tool for Proteinuria? An Experience from Umberto I Hospital in Rome","https://scispace.com/paper/urine-dipstick-analysis-on-automated-platforms-is-a-reliable-1emy8kuz","2023","Journal Article","Advances in Cardiovascular Diseases","Giampiero Ferraguti
Marco Fiore","10.3390/biomedicines11041174","https://scispace.com/pdf/urine-dipstick-analysis-on-automated-platforms-is-a-reliable-1emy8kuz.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Evaluates automated dipstick screening for proteinuria; lacks detailed benchtop reflectance design or optical methodology, limiting relevance to hardware-focused criteria.","Urinalysis is commonly used as a screening tool for kidney disease. In many cases, the dipstick urine assay includes the assessment of albumin/protein and creatinine; consequently, the value of their ratio is available on the urine section report. Identification of albuminuria/proteinuria at early stages is an important issue to prevent or at least delay the onset of chronic kidney disease (CKD), kidney failure, and the progression of cardiovascular damage linked to the kidney’s loss of function. Sensitive and specific diagnostic methods are required for the assessment of such an important biomarker: urine albumin, creatinine, and their ratio (ACR) measured with quantitative assays are considered the gold standard. Routine dipstick methods (more rapid and at a lower cost) are intended for wide population screening. The aim of our study was to verify the reliability of an automated urinalysis dipstick method by comparing the results with the quantitative test of creatinine and albumin performed on a clinical chemistry platform. The first-morning voids of 249 patients who arrived from different departments were analyzed in the Central Laboratory of the University Hospital Policlinico Umberto I in Rome. We found a good correlation between the two assays, even though we observed that the dipstick assessment tends to overestimate the ACR’s value, disclosing a higher number of false positives if compared to the reference method. As an important novelty in this study, we analyzed our data considering age (starting from pediatric to geriatric patients) and sex as variables for a sub-stratification of the participants. Our results show that positive values need to be confirmed with quantitative methods, especially in women and younger people, and that from samples that resulted as diluted at the dipstick assay, the ACR’s values can be obtained if they are reanalyzed with quantitative assays. Moreover, patients with microalbuminuria (ACR 30–300 mg/g) or severe albumin urinary excretion (ACR &gt; 300 mg/g) should be reanalyzed using quantitative methods to obtain a more reliable calculation of the ACR. ","The Sysmex UC-3500 automatic urine analyzer utilizes quantitative reading of urinary test strips using reflectometry. The dipstick analysis for albumin is based on a PH indicator (tetrabromophenol blue), and for creatinine, the method is based on Benedict-Behre. The paper does not detail specific LED types, wavelengths, detector types, or optical path configurations. Calibration or color correction methods are not explicitly described.","Not addressed in this paper.","The paper notes that routine dipstick methods are ""more rapid and at a lower cost"" compared to quantitative assays, intended for wide population screening. It mentions the Sysmex UC-3500 automatic urine analyzer and Cobas C 501 analyzer as platforms used. No specific details on manufacturing approach, assembly, material selection, BOM, or quality control methods for these devices are provided."
"Automation of urine dipstick test by simultaneous scanning : A pilot study","https://scispace.com/paper/automation-of-urine-dipstick-test-by-simultaneous-scanning-a-17c24j66sz","2010","Journal Article","Journal of Sensor Science and Technology ","Sang-Bong Lee
Seong-Su Choi
In-Kwang Lee
Jeong-Su Han
Wan-Seok Kim
Wun-Jae Kim
Eun-Jong Cha
Kyung-Ah Kim","10.5369/JSST.2010.19.3.169","","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses a PC scanner to image dipsticks, not reflectance photometry; provides basic hardware layout (scanner, PC) but lacks detailed benchtop optical design; no discussion of wavelength selection or reflectance calibration.","Urinalysis is an important clinical test to diagnose urinary diseases, and dipstick method with visual inspection is widely applied in practice. Automated optical devices recently developed have disadvantages of long measurement time, big size and heavy weight, accuracy degradation with time, etc. The present study proposed a new computer scanning technique, in which the test strip and the standard chart were simultaneously scanned to remove any environmental artifacts, followed by automated differentiation with the minimum distance algorithm, leading to significant enhancement of accuracy. Experiments demonstrated an accuracy of 100 % in that all test results were identical with the human visual inspection. The present technique only uses a personal computer with scanner and shortens the test time to a great degree. The results are also stored and accumulated for later use which can be transmitted to remote locations through a network, thus could be easily integrated to any ubiquitous health care systems.","The paper proposes a new computer scanning technique where the test strip and standard chart are simultaneously scanned. This method removes environmental artifacts and uses automated differentiation with a minimum distance algorithm, enhancing accuracy. It utilizes a personal computer with a scanner. No specific details on light source, detector type, optical path configuration, or reflectance measurement approach are provided beyond the scanning process.","The study proposes a new computer scanning technique using a personal computer with a scanner. It employs automated differentiation with the minimum distance algorithm for enhanced accuracy. The system stores and accumulates results, which can be transmitted through a network for integration into ubiquitous health care systems. No specific details on microcontroller/processor, ADC, signal conditioning, power supply, or other electronic components are mentioned.","The study proposes a new computer scanning technique for urine dipstick tests, enhancing accuracy. It uses a personal computer with a scanner, shortening test time. The results are stored for later use and transmission, suggesting integration into ubiquitous healthcare systems. The method aims to remove environmental artifacts and uses a minimum distance algorithm."
"Diagnostic accuracy of semiquantitative point of care urine albumin to creatinine ratio and urine dipstick analysis in a primary care resource limited setting in South Africa","https://scispace.com/paper/diagnostic-accuracy-of-semiquantitative-point-of-care-urine-2s5obkzbgx","2021","Journal Article","BMC Nephrology","Sean D Currin
Mwawi S Gondwe
Nokthula B Mayindi
Shingirai Chipungu
Bongekile L Khoza
Stephen Tollman
June Fabian
Jaya A. George
Jaya A. George","10.1186/S12882-021-02290-5","https://scispace.com/pdf/diagnostic-accuracy-of-semiquantitative-point-of-care-urine-2s5obkzbgx.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses benchtop UC-1000 for dipstick testing in rural South Africa, but offers no hardware design or optical reflectance photometry details.","The prevalence of chronic kidney disease (CKD) is predicted to rise over the next few decades. In resource-limited settings access to central laboratory services is limited. Point-of-care (POC) urine dipstick testing offers the potential to detect markers of kidney damage (albuminuria) as well as markers of other disease processes. We evaluated the diagnostic accuracy of the semi-quantitative albumin-creatinine ratio (ACR) Sysmex UC-1000 POC urine dipstick system as well as the extent of other abnormal dipstick findings in urine. 700 participants from a rural area in South Africa were screened for albuminuria. A spot urine sample was used to measure POC and central laboratory ACR. We determined the sensitivity, specificity, positive predictive value and negative predictive value of the POC ACR, and recorded dipstick parameters. The prevalence of albuminuria was 11.6% (95%CI; 9.3–14.2). Those with albuminuria had higher mean diastolic (82 vs 79 mmHg, p = 0.019) and systolic (133 vs 128 mmHg, p = 0.002) blood pressures and a higher proportion of diabetes mellitus (17.6 vs 4.9%, p < 0.001). The sensitivity of the POC ACR system was 0.79, specificity 0.84, positive predictive value 0.39 and negative predictive value 0.97. The sensitivity improved to 0.80, 0.85, 0.85 and 0.89 in those with elevated blood pressure, diabetes mellitus, HIV positive status, and those 65 years and older, respectively. Abnormalities other than albuminuria were detected in 240 (34.3%) of the samples; 88 (12.6%) were positive for haematuria, 113 (16.1%) for leucocytes, 66 (9.4%) for nitrites and 27 (3.9%) for glycosuria. Our study shows that POC ACR has good negative predictive value and could be used to rule out albuminuria when screening for CKD. Additionally, a high proportion of participants had other urine abnormalities detected with dipsticks which may reflect kidney disease or co-morbid untreated genitourinary pathology such as urinary tract infections or endemic schistosomiasis with important implications for CKD.","The Sysmex UC-1000® system optically reads reaction results from 12S dipsticks using multi-wavelength reflectance photometry. It employs colorimetric dipstick assays for albumin and creatinine. The system uses internal quality control performed daily. Specific details on LED type, wavelengths, detector type (e.g., photodiode/CCD), and optical path configuration are not provided.","The Sysmex UC-1000® semi-automated urine chemistry analyser uses multi-wavelength reflectance photometry to read reaction results from 12S dipsticks. It calculates ACR based on albumin (10, 30, 80, or 150 mg/L) and creatinine (10, 50, 100, 200, or 300 mg/dL) measurements. The system eliminates inter-individual variation in dipstick interpretation. No specific details on microcontrollers, ADCs, signal conditioning, power supply, or communication interfaces (USB, Bluetooth) are provided.","The study used Sysmex Corporation 12S® urine dipsticks with the Sysmex UC-1000® semi-automated urine chemistry analyser. The semi-automated reading of strips eliminates inter-individual variation, and internal quality control was performed daily. Funding constraints limited the sample size to 700 out of 989. The POC ACR system offers good rule-out utility for albuminuria, suggesting its potential as a screening test."
"Novel optical absorbance-based multi-analytes detection module using a tri-chromatic LED, PDs and plastic optical fibers and its application to a palm-sized urine test strip reader","https://scispace.com/paper/novel-optical-absorbance-based-multi-analytes-detection-6e659ea7nd","2010","Proceedings Article","IEEE Sensors","Dae-Sik Lee
Mun Yeon Jung
Byoung Goo Jeon
Mi-Jin Sohn","10.1109/ICSENS.2010.5690509","","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses absorbance, handheld device; provides detailed hardware layout (LEDs, photodiodes, fibers) but lacks benchtop scale and reflectance‑based detection.","We have designed, fabricated and characterized a new palm-sized urine test strip reader (9.5 × 6.5 × 1.8 cm3) using a novel optical absorbance-based multi-analytes detecting module, consisting of a three-chromatic light-emitting diode (LED) component, photodiodes, and optical waveguide for digital readouts. The instrument is a handheld, simple but powerful in obtaining reliably a numerical analog output compatible with urine-based test strips. The proposed optical module demonstrated the excellent reading out of signal levels of proteins, glucose, blood cells, respectively, in the test urine strip kits, with low fabrication cost, rapidness, precision and reproducibility.","A novel optical absorbance-based module uses a tri-chromatic LED component, photodiodes, and plastic optical fibers (optical waveguide) for digital readouts. This palm-sized urine test strip reader detects proteins, glucose, and blood cells. The system demonstrated excellent signal levels with precision and reproducibility. Calibration and color correction methods are not detailed in the metadata.","The device uses a novel optical absorbance-based multi-analytes detecting module. It consists of a three-chromatic light-emitting diode (LED) component and photodiodes for digital readouts. The instrument is palm-sized (9.5 × 6.5 × 1.8 cm3) and handheld. No specific details about microcontroller/processor type, ADC specifications, signal conditioning circuits, power supply requirements, communication interfaces, or other specific electronic components are mentioned in the metadata.","The instrument was designed and fabricated, demonstrating low fabrication cost. It uses a novel optical absorbance-based multi-analytes detecting module, consisting of a three-chromatic LED component, photodiodes, and optical waveguide. The palm-sized device (9.5 × 6.5 × 1.8 cm3) aims for rapidness, precision, and reproducibility."
"Development of a Quantitative Digital Urinalysis Tool for Detection of Nitrite, Protein, Creatinine, and pH","https://scispace.com/paper/development-of-a-quantitative-digital-urinalysis-tool-for-22cnhndoky","2024","Journal Article","Biosensors","Vince Siu
Minhua Lu
Kuan Yu Hsieh
Bo Wen
Italo Buleje
Nigel Hinds
Krishna Patel
Bing Dang
Russell Budd","10.3390/bios14020070","","- **Relevance Score:** 10/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses transmission‑based portable colorimeter, not benchtop reflectance; hardware (Bluetooth, smartphone UI, optics) described, but no reflectance dipstick methodology.","This paper presents a cost-effective, quantitative, point-of-care solution for urinalysis screening, specifically targeting nitrite, protein, creatinine, and pH in urine samples. Detecting nitrite is crucial for the early identification of urinary tract infections (UTIs), while regularly measuring urinary protein-to-creatinine (UPC) ratios aids in managing kidney health. To address these needs, we developed a portable, transmission-based colorimeter using readily available components, controllable via a smartphone application through Bluetooth. Multiple colorimetric detection strategies for each analyte were identified and tested for sensitivity, specificity, and stability in a salt buffer, artificial urine, and human urine. The colorimeter successfully detected all analytes within their clinically relevant ranges: nitrite (6.25–200 µM), protein (2–1024 mg/dL), creatinine (2–1024 mg/dL), and pH (5.0–8.0). The introduction of quantitative protein and creatinine detection, and a calculated urinary protein-to-creatinine (UPC) ratio at the point-of-care, represents a significant advancement, allowing patients with proteinuria to monitor their condition without frequent lab visits. Furthermore, the colorimeter provides versatile data storage options, facilitating local storage on mobile devices or in the cloud. The paper further details the setup of the colorimeter’s secure connection to a cloud-based environment, and the visualization of time-series analyte measurements in a web-based dashboard.","The system uses a portable, transmission-based colorimeter, controllable via a smartphone. It detects nitrite, protein, creatinine, and pH. The colorimeter successfully detected analytes within clinically relevant ranges: nitrite (6.25–200 µM), protein (2–1024 mg/dL), creatinine (2–1024 mg/dL), and pH (5.0–8.0). No specific details on LED type, wavelengths, detector type, optical path configuration, or reflectance measurement approach are provided.","The device uses a portable, transmission-based colorimeter, controllable via a smartphone application through Bluetooth. It features versatile data storage options, including local storage on mobile devices or in the cloud. The colorimeter's secure connection to a cloud-based environment and visualization of time-series analyte measurements in a web-based dashboard are also detailed.","The paper presents a cost-effective urinalysis tool using readily available components. It details a portable, transmission-based colorimeter, controllable via a smartphone. The design focuses on economical production, enabling quantitative detection of nitrite, protein, creatinine, and pH within clinically relevant ranges. This approach allows for point-of-care monitoring, reducing the need for frequent lab visits."
"Urine test strip analysis using image processing for mobile application","https://scispace.com/paper/urine-test-strip-analysis-using-image-processing-for-mobile-2mt0q98b7m","2016","Journal Article","","Ira Valenzuela
Timothy M. Amado
John William Orillo","10.11113/JT.V78.8720","https://journals.utm.my/jurnalteknologi/article/download/8720/5183","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses smartphone imaging and OpenCV to read dipsticks; lacks benchtop form, optical reflectance photometry, and detailed hardware architecture, yielding minimal relevance.","In attaining vital information for diagnostic purposes in medicine, analysis of the urine sample or urinalysis is a powerful tool. Urine test strip is commonly used in this kind of assessment. In this study, a mobile application has been developed for urine test strip analysis using image processing. Glucose, pH, specific gravity and protein levels are determined and analyzed by the system. The urine test strip is captured using an Android phone, and then the image captured is analyzed using the algorithm employed in OpenCV. Harris detection and RANSAC algorithms are utilized to provide an accurate homography estimation. A portable document format report has been generated to provide the summary of analysis. One-hundred seventy-one (171) urine test strips images are stored in the SQLite database of the mobile phone. And 54 urine samples are tested for the accuracy of the system. The study showed that the overall accuracy is 91.7%.","Not available in metadata.","Not available in metadata.","Not available in metadata."
"Highly selective optical detection in a lab-on-a-chip for biological fluids analysis","https://scispace.com/paper/highly-selective-optical-detection-in-a-lab-on-a-chip-for-3taivdx768","2002","Journal Article","Sensors and Materials","Graça Minas
Júlio S. Martins
José Higino Correia","","https://www.myu-inc.jp/myukk/S&M/archives/pdf/S&M0472.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Describes a microfluidic Fabry‑Perot optical detector for protein quantification in urine; lacks benchtop dipstick format, reflectance photometry, and dipstick design specifics.","This paper presents a microfluidic system for determining the protein concentrations in human biological fluids (e.g., urine) with a highly sensitive and selective optical photodetector based on a Fabry-Perot filter. The microsystem consists of two wafers: a Pyrex glass wafer containing the microlaboratory (microchannels to carry chemical reagents and sample solutions) and a silicon wafer that includes the protein detection system and readout electronics. The optical channel operates in the visible spectral range. Optical simulations of the Fabry-Perot filter for narrow band operation are demonstrated by the determination of total protein and albumin concentration in urine. Compensation techniques for the detection system are also presented. This microfluidic system eliminates the need for expensive readout optics and opens the door to low-cost disposable devices.","The system uses a highly sensitive and selective optical photodetector based on a Fabry-Perot filter, operating in the visible spectral range. It's integrated into a silicon wafer with readout electronics. The optical channel determines total protein and albumin concentration in urine. Compensation techniques for the detection system are also presented. Specific light source, detector type (beyond ""photodetector""), or optical path configuration details are not available.","The silicon wafer includes the protein detection system and readout electronics. The optical channel operates in the visible spectral range. Compensation techniques for the detection system are also presented. This microfluidic system eliminates the need for expensive readout optics. No specific details on microcontroller, ADC, signal conditioning, power, communication interfaces, or electronic components (op-amps, voltage references) are available in the metadata.","The microfluidic system eliminates the need for expensive readout optics, opening the door to low-cost disposable devices. It features two wafers: a Pyrex glass wafer for microchannels and a silicon wafer for the protein detection system and readout electronics. This design contributes to economical production."
